epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1789942307,2424,46.0,48.0,200,5.19,Discharging,79,10497
1789942312,2322,63.0,61.0,1600,15.02,Discharging,79,10351
1789942317,1399,68.0,66.0,1600,6.09,Discharging,79,10380
1789942322,2257,68.0,68.0,200,12.09,Discharging,79,10406
1789942328,2424,69.0,70.0,1487,13.24,Discharging,79,10371
1789942333,2403,71.0,70.0,1600,14.17,Discharging,79,10388
1789942338,2323,70.0,70.0,1600,15.01,Discharging,79,10388
1789942343,2335,69.0,70.0,1573,15.19,Discharging,79,10404
1789942348,2079,70.0,70.0,1600,13.14,Discharging,79,10397
1789942353,2304,70.0,70.0,1600,15.02,Discharging,79,10418
1789942358,2344,70.0,71.0,1600,15.23,Discharging,79,10386
1789942363,1833,71.0,71.0,1600,15.17,Discharging,79,10406
1789942368,2424,70.0,71.0,1600,16.05,Discharging,79,10382
1789942373,1710,72.0,71.0,1600,14.02,Discharging,78,10412
1789942378,2424,70.0,71.0,1600,16.16,Discharging,78,10403
1789942383,2424,71.0,71.0,1600,15.25,Discharging,78,10430
1789942388,2289,71.0,71.0,1600,16.22,Discharging,78,10395
1789942393,2351,63.0,71.0,1040,10.12,Discharging,78,10407
1789942398,2424,71.0,70.0,1600,15.22,Discharging,78,10417
1789942403,1933,71.0,70.0,1600,14.18,Discharging,78,10414
1789942408,2424,69.0,71.0,1528,15.03,Discharging,78,10443
1789942413,2424,70.0,70.0,1600,15.15,Discharging,78,10441
1789942418,2199,70.0,70.0,1600,16.04,Discharging,78,10422
1789942423,2054,71.0,71.0,1600,14.16,Discharging,78,10425
1789942428,2313,70.0,71.0,1600,15.25,Discharging,78,10450
1789942433,2370,71.0,71.0,1600,16.03,Discharging,78,10454
1789942438,2424,70.0,71.0,1600,16.08,Discharging,78,10455
1789942443,2424,71.0,71.0,1600,15.19,Discharging,78,10426
1789942449,2424,71.0,71.0,1600,16.05,Discharging,78,10440
1789942454,2249,72.0,71.0,1600,15.10,Discharging,78,10430
