epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1790382930,2424,42.0,44.0,200,6.19,Not charging,76,8409
1790382935,2207,59.0,58.0,1600,14.18,Not charging,76,8111
1790382940,2268,64.0,63.0,1600,13.04,Not charging,76,8096
1790382945,1659,67.0,66.0,1600,15.23,Not charging,76,8065
1790382950,2254,67.0,67.0,1600,14.21,Not charging,76,8070
1790382955,2381,68.0,67.0,1600,15.08,Not charging,76,8106
1790382960,2383,67.0,67.0,1600,14.24,Not charging,76,8084
1790382965,2037,68.0,67.0,1600,16.10,Not charging,76,8103
1790382970,2424,66.0,67.0,1597,16.14,Not charging,76,8101
1790382975,1880,67.0,67.0,1600,14.18,Not charging,76,8098
1790382980,1766,67.0,68.0,1600,15.20,Not charging,76,8101
1790382985,2424,67.0,68.0,1600,13.22,Not charging,76,8101
1790382990,2421,68.0,68.0,1600,14.09,Not charging,76,8110
1790382995,2399,67.0,68.0,1463,15.08,Not charging,76,8097
1790383001,2424,67.0,68.0,1600,15.20,Not charging,76,8099
1790383006,2419,67.0,68.0,1600,15.04,Not charging,76,8101
1790383011,2327,67.0,67.0,1600,17.22,Not charging,76,8099
1790383016,2424,67.0,67.0,1600,15.01,Not charging,76,8092
1790383021,2264,67.0,67.0,1600,13.17,Not charging,76,8078
1790383026,2364,65.0,67.0,1541,15.17,Not charging,76,8087
1790383031,2424,67.0,67.0,1600,15.09,Not charging,76,8100
1790383036,2382,66.0,67.0,1600,13.02,Not charging,76,8104
1790383041,2424,67.0,67.0,1600,16.21,Not charging,76,8132
1790383046,2424,67.0,67.0,1600,15.09,Not charging,76,8103
1790383051,2369,67.0,67.0,1600,15.19,Not charging,76,8116
1790383056,2425,68.0,68.0,1600,15.20,Not charging,76,8087
1790383061,2424,67.0,68.0,1600,14.08,Not charging,76,8124
1790383066,2416,68.0,68.0,1600,15.07,Not charging,76,8125
1790383071,2378,66.0,68.0,1526,14.04,Not charging,76,8136
1790383076,2390,66.0,67.0,1600,15.15,Not charging,76,8135
1790383081,2424,66.0,67.0,1600,15.20,Not charging,76,8124
1790383086,2242,66.0,67.0,1600,16.08,Not charging,76,8114
1790383091,2138,68.0,68.0,1600,14.21,Not charging,76,8133
1790383096,2342,68.0,68.0,1600,15.15,Not charging,76,8115
1790383101,2424,67.0,67.0,1600,15.07,Not charging,76,8137
1790383106,2094,67.0,67.0,1600,14.17,Not charging,76,8132
1790383111,2424,67.0,67.0,1600,14.07,Not charging,76,8123
1790383116,2328,68.0,67.0,1600,12.22,Not charging,76,8160
1790383121,2283,67.0,68.0,1600,16.01,Not charging,76,8144
1790383126,2424,68.0,68.0,1600,15.08,Not charging,76,8108
1790383131,2413,68.0,68.0,1600,15.18,Not charging,76,8112
1790383137,2359,69.0,68.0,1600,15.02,Not charging,76,8105
1790383142,2249,68.0,68.0,1600,14.23,Not charging,76,8119
1790383147,2424,68.0,68.0,1600,14.14,Not charging,76,8073
1790383152,2424,68.0,69.0,1461,14.21,Not charging,76,8081
1790383157,2397,69.0,69.0,1600,14.14,Not charging,76,8112
1790383162,1399,68.0,69.0,1525,15.12,Not charging,76,8097
1790383167,2109,69.0,69.0,1600,15.09,Not charging,76,8107
1790383172,2424,68.0,69.0,1600,16.16,Not charging,76,8099
1790383177,2077,69.0,69.0,1600,14.18,Not charging,76,8115
1790383182,2424,68.0,69.0,1544,16.03,Not charging,76,8088
1790383187,2075,69.0,69.0,1592,6.23,Not charging,76,8096
