epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1790381056,2424,54.0,67.0,1040,5.05,Not charging,76,8494
1790381061,3499,55.0,64.0,1040,14.22,Not charging,76,8170
1790381066,2424,55.0,63.0,1040,10.06,Not charging,76,8178
1790381071,2924,55.0,63.0,1040,8.15,Not charging,76,8170
1790381076,3399,56.0,63.0,1040,12.02,Not charging,76,8177
1790381081,3399,55.0,63.0,1040,13.07,Not charging,76,8176
1790381086,3499,57.0,63.0,1040,11.21,Not charging,76,8165
1790381091,3499,57.0,64.0,1040,14.02,Not charging,76,8134
1790381096,3499,57.0,64.0,1040,8.11,Not charging,76,8129
1790381101,3499,57.0,63.0,200,10.19,Not charging,76,8155
1790381107,2624,56.0,63.0,1040,9.13,Not charging,76,8183
1790381112,3449,56.0,63.0,1040,12.13,Not charging,76,8177
1790381117,3499,56.0,63.0,1040,11.01,Not charging,76,8165
1790381122,3499,56.0,64.0,1040,11.20,Not charging,76,8178
1790381127,3499,57.0,64.0,1040,12.02,Not charging,76,8176
1790381132,3499,56.0,64.0,1040,14.09,Not charging,76,8177
1790381137,3499,57.0,64.0,1040,15.07,Not charging,76,8166
1790381142,3499,56.0,62.0,1040,15.24,Not charging,76,8152
1790381147,2624,56.0,63.0,1040,11.11,Not charging,76,8165
1790381152,3471,57.0,63.0,1040,12.22,Not charging,76,8155
1790381157,2824,56.0,63.0,200,7.20,Not charging,76,8160
1790381162,3474,56.0,63.0,1040,13.00,Not charging,76,8147
1790381167,3499,56.0,63.0,1040,12.19,Not charging,76,8150
1790381172,3499,56.0,63.0,200,10.19,Not charging,76,8145
1790381177,3499,57.0,64.0,200,9.24,Not charging,76,8112
1790381182,3499,56.0,63.0,1040,17.06,Not charging,76,8138
1790381187,3449,55.0,62.0,1040,15.12,Not charging,76,8157
1790381192,3271,57.0,63.0,1040,10.23,Not charging,76,8166
1790381197,2724,55.0,63.0,1040,11.05,Not charging,76,8167
1790381202,3499,55.0,63.0,1040,15.04,Not charging,76,8153
1790381207,3466,56.0,63.0,1040,14.04,Not charging,76,8145
1790381212,3500,56.0,63.0,1040,10.05,Not charging,76,8167
1790381217,3499,55.0,63.0,1040,15.20,Not charging,76,8153
1790381222,3499,56.0,62.0,1040,14.04,Not charging,76,8136
1790381227,3149,54.0,62.0,1040,8.06,Not charging,76,8139
1790381232,2424,54.0,62.0,1040,8.06,Not charging,76,8159
1790381237,3099,56.0,62.0,1040,9.17,Not charging,76,8158
1790381242,3499,56.0,62.0,1040,10.11,Not charging,76,8158
1790381247,3499,55.0,63.0,1040,13.17,Not charging,76,8135
1790381252,3499,55.0,62.0,200,7.09,Not charging,76,8104
1790381257,3499,56.0,61.0,1040,11.11,Not charging,76,8107
1790381262,3499,55.0,62.0,1040,16.24,Not charging,76,8124
1790381268,2899,55.0,62.0,1040,12.18,Not charging,76,8129
1790381273,2849,56.0,62.0,1040,12.18,Not charging,76,8141
1790381278,3499,57.0,63.0,1040,14.02,Not charging,76,8119
1790381283,3499,57.0,63.0,1040,12.05,Not charging,76,8138
1790381288,3499,57.0,64.0,1040,12.07,Not charging,76,8153
1790381293,3499,56.0,64.0,1040,15.05,Not charging,76,8145
1790381298,3499,56.0,63.0,1040,11.03,Not charging,76,8134
1790381303,3499,55.0,62.0,1040,15.11,Not charging,76,8116
1790381308,3499,56.0,62.0,1040,13.00,Not charging,76,8138
1790381313,2424,56.0,62.0,1040,9.01,Not charging,76,8139
1790381318,2849,56.0,62.0,1040,6.19,Not charging,76,8136
1790381323,3499,56.0,63.0,1040,11.07,Not charging,76,8149
1790381328,3499,57.0,64.0,1040,13.11,Not charging,76,8147
1790381333,3498,56.0,64.0,1040,11.21,Not charging,76,8126
1790381338,3499,57.0,64.0,1040,10.14,Not charging,76,8110
1790381343,3499,56.0,62.0,1040,13.16,Not charging,76,8110
1790381348,2624,55.0,62.0,1040,12.05,Not charging,76,8122
1790381353,3499,57.0,63.0,1040,14.09,Not charging,76,8120
1790381358,3499,57.0,64.0,1040,11.20,Not charging,76,8118
1790381363,3461,56.0,64.0,1040,12.11,Not charging,76,8126
1790381368,3499,57.0,64.0,1040,9.15,Not charging,76,8113
1790381373,3499,57.0,63.0,1040,12.09,Not charging,76,8131
1790381378,3499,57.0,63.0,1040,13.08,Not charging,76,8133
1790381383,3474,55.0,62.0,1040,11.16,Not charging,76,8126
1790381388,3299,56.0,63.0,1040,11.02,Not charging,76,8144
1790381393,2793,56.0,64.0,1040,10.12,Not charging,76,8121
1790381398,3399,57.0,64.0,1040,14.22,Not charging,76,8131
1790381403,3224,55.0,64.0,1040,9.10,Not charging,76,8132
1790381408,3499,57.0,63.0,1040,14.03,Not charging,76,8146
1790381413,3499,57.0,63.0,1040,13.22,Not charging,76,8145
1790381418,3499,56.0,63.0,1040,15.14,Not charging,76,8148
1790381423,3099,55.0,62.0,1040,13.15,Not charging,76,8140
1790381429,2799,55.0,62.0,1040,8.18,Not charging,76,8155
1790381434,3174,55.0,62.0,1040,7.07,Not charging,76,8156
1790381439,2939,55.0,63.0,200,7.09,Not charging,76,8154
1790381444,3299,55.0,63.0,1040,10.24,Not charging,76,8156
1790381449,3499,56.0,63.0,1040,11.05,Not charging,76,8123
1790381454,3500,56.0,62.0,1040,12.18,Not charging,76,8136
1790381459,3499,56.0,61.0,1040,13.01,Not charging,76,8133
1790381464,3499,55.0,62.0,1040,16.15,Not charging,76,8112
1790381469,3299,56.0,63.0,1040,11.08,Not charging,76,8117
1790381474,3499,56.0,63.0,1040,10.22,Not charging,76,8121
1790381479,2899,56.0,64.0,1040,12.20,Not charging,76,8135
1790381484,3499,57.0,63.0,1040,11.12,Not charging,76,8140
1790381489,3499,56.0,63.0,1040,6.23,Not charging,76,8102
1790381494,3499,57.0,62.0,1040,9.22,Not charging,76,8132
1790381499,3499,56.0,62.0,1040,13.16,Not charging,76,8127
1790381504,3499,56.0,62.0,1040,14.04,Not charging,76,8113
1790381509,2424,54.0,62.0,1040,5.23,Not charging,76,8109
1790381514,2774,54.0,62.0,1040,8.08,Not charging,76,8111
1790381519,3474,57.0,62.0,1040,12.24,Not charging,76,8125
1790381524,2878,55.0,62.0,1040,11.21,Not charging,76,8122
1790381529,3499,55.0,62.0,1040,11.21,Not charging,76,8133
1790381534,3498,55.0,62.0,1040,9.14,Not charging,76,8128
1790381539,3499,55.0,61.0,1040,13.09,Not charging,76,8126
1790381544,2897,53.0,60.0,1040,9.11,Not charging,76,8114
1790381549,3474,55.0,62.0,1040,12.06,Not charging,76,8136
1790381554,3124,54.0,62.0,1040,8.00,Not charging,76,8131
1790381559,3174,55.0,62.0,1040,12.14,Not charging,76,8129
1790381564,3499,56.0,63.0,1040,12.15,Not charging,76,8140
1790381569,3499,56.0,63.0,1040,11.09,Not charging,76,8127
1790381574,3499,56.0,63.0,1040,12.12,Not charging,76,8101
1790381579,3499,57.0,63.0,1040,10.25,Not charging,76,8113
1790381584,3499,55.0,61.0,1040,13.03,Not charging,76,8093
1790381589,2424,54.0,61.0,1040,7.13,Not charging,76,8093
1790381595,3499,56.0,62.0,1040,15.08,Not charging,76,8115
1790381600,3449,56.0,62.0,1040,14.06,Not charging,76,8113
1790381605,3374,57.0,64.0,1040,13.08,Not charging,76,8110
1790381610,3499,56.0,63.0,1040,14.13,Not charging,76,8113
1790381615,3499,56.0,64.0,1040,12.24,Not charging,76,8101
1790381620,3499,56.0,64.0,1040,15.04,Not charging,76,8107
1790381625,3499,55.0,62.0,1040,15.08,Not charging,76,8091
1790381630,2949,55.0,62.0,1040,9.01,Not charging,76,8118
1790381635,2424,55.0,62.0,1040,11.01,Not charging,76,8108
1790381640,2949,56.0,63.0,1040,8.02,Not charging,76,8105
1790381645,2927,55.0,63.0,1040,15.06,Not charging,76,8090
1790381650,3499,57.0,62.0,1040,13.16,Not charging,76,8080
1790381655,3499,56.0,62.0,1040,11.17,Not charging,76,8097
1790381660,3499,56.0,63.0,1040,10.18,Not charging,76,8081
1790381665,2974,55.0,62.0,1040,10.15,Not charging,76,8064
1790381670,3124,55.0,63.0,1040,6.14,Not charging,76,8084
1790381675,2874,56.0,64.0,1040,12.15,Not charging,76,8083
1790381680,3298,56.0,63.0,1040,14.04,Not charging,76,8087
1790381685,3499,56.0,63.0,1040,12.01,Not charging,76,8097
1790381690,3499,57.0,63.0,1040,12.15,Not charging,76,8095
1790381695,3499,57.0,64.0,1040,10.24,Not charging,76,8100
1790381700,3499,56.0,63.0,1040,13.08,Not charging,76,8089
1790381705,3499,55.0,62.0,1040,12.17,Not charging,76,8080
1790381710,3126,55.0,63.0,1040,10.15,Not charging,76,8098
1790381715,3275,56.0,62.0,1040,11.10,Not charging,76,8098
1790381720,2449,55.0,63.0,1040,10.11,Not charging,76,8096
1790381725,3499,57.0,62.0,1040,12.08,Not charging,76,8101
1790381730,3499,56.0,63.0,1040,14.15,Not charging,76,8101
1790381735,3499,56.0,63.0,1040,12.13,Not charging,76,8088
1790381740,3499,56.0,62.0,1040,11.25,Not charging,76,8084
1790381745,3499,56.0,61.0,1040,13.24,Not charging,76,8071
1790381750,2424,54.0,62.0,1040,5.24,Not charging,76,8098
1790381756,3049,56.0,63.0,200,7.17,Not charging,76,8099
1790381761,2999,55.0,63.0,1040,13.06,Not charging,76,8102
1790381766,3482,57.0,63.0,1040,14.21,Not charging,76,8117
1790381771,3499,56.0,63.0,1040,10.22,Not charging,76,8105
1790381776,3499,57.0,62.0,1040,12.02,Not charging,76,8096
1790381781,3499,56.0,64.0,1040,10.21,Not charging,76,8070
1790381786,3124,55.0,62.0,1040,12.14,Not charging,76,8074
1790381791,3499,57.0,63.0,1040,13.05,Not charging,76,8098
1790381796,3499,56.0,63.0,1040,11.23,Not charging,76,8094
1790381801,2602,56.0,64.0,1040,7.21,Not charging,76,8103
1790381806,3499,56.0,64.0,1040,12.24,Not charging,76,8099
1790381811,3499,57.0,63.0,1040,12.06,Not charging,76,8089
1790381816,3499,56.0,63.0,1040,12.13,Not charging,76,8097
1790381821,3499,57.0,63.0,1040,11.10,Not charging,76,8096
1790381826,3499,56.0,62.0,1040,16.18,Not charging,76,8095
1790381831,2972,55.0,63.0,1040,7.13,Not charging,76,8098
1790381836,3499,56.0,62.0,1040,11.25,Not charging,76,8093
1790381841,3474,56.0,63.0,1040,12.11,Not charging,76,8097
1790381846,3398,56.0,62.0,1040,10.07,Not charging,76,8070
1790381851,3499,57.0,63.0,1040,11.15,Not charging,76,8080
1790381856,3499,57.0,63.0,1040,12.05,Not charging,76,8079
1790381861,3499,56.0,63.0,1040,14.22,Not charging,76,8079
1790381866,3499,57.0,62.0,1040,11.12,Not charging,76,8064
1790381871,3024,56.0,63.0,1040,10.13,Not charging,76,8060
1790381876,2424,55.0,63.0,1040,9.05,Not charging,76,8074
1790381881,3499,56.0,63.0,1040,13.21,Not charging,76,8095
1790381886,3500,56.0,63.0,1040,10.07,Not charging,76,8078
1790381891,3499,57.0,62.0,1040,12.12,Not charging,76,8087
1790381896,3499,56.0,63.0,1040,10.23,Not charging,76,8078
1790381901,2970,55.0,63.0,1040,11.16,Not charging,76,8073
1790381906,3499,56.0,62.0,200,10.25,Not charging,76,8072
1790381911,3499,56.0,62.0,1040,12.12,Not charging,76,8082
1790381916,2645,56.0,63.0,1040,6.06,Not charging,76,8081
1790381922,2905,55.0,63.0,1040,7.19,Not charging,76,8070
1790381927,3474,57.0,63.0,1040,11.13,Not charging,76,8070
1790381932,3499,56.0,62.0,1040,11.21,Not charging,76,8060
1790381937,3499,56.0,62.0,1040,13.03,Not charging,76,8044
1790381942,3499,56.0,61.0,1040,12.04,Not charging,76,8043
1790381947,3499,55.0,62.0,1040,14.00,Not charging,76,8038
1790381952,3499,56.0,62.0,1040,15.03,Not charging,76,8049
1790381957,2699,56.0,63.0,1040,10.21,Not charging,76,8051
1790381962,2424,55.0,63.0,1040,10.13,Not charging,76,8066
1790381967,3374,55.0,62.0,1040,12.20,Not charging,76,8070
1790381972,3499,56.0,62.0,1040,13.05,Not charging,76,8064
1790381977,3499,56.0,63.0,1040,12.04,Not charging,76,8061
1790381982,3499,56.0,62.0,1040,12.10,Not charging,76,8074
1790381987,3499,56.0,62.0,1040,12.19,Not charging,76,8063
1790381992,2424,54.0,62.0,1040,9.01,Not charging,76,8071
1790381997,2799,54.0,62.0,1040,11.07,Not charging,76,8083
1790382002,3499,55.0,62.0,1040,11.19,Not charging,76,8072
1790382007,3149,56.0,63.0,1040,9.23,Not charging,76,8077
1790382012,3151,55.0,63.0,1040,9.25,Not charging,76,8069
1790382017,3499,56.0,63.0,1040,12.08,Not charging,76,8064
1790382022,3499,56.0,63.0,1040,13.09,Not charging,76,8065
1790382027,3499,56.0,61.0,1040,11.23,Not charging,76,8046
1790382032,3499,57.0,62.0,1040,14.01,Not charging,76,8065
1790382037,2776,56.0,63.0,1040,7.09,Not charging,76,8082
1790382042,3049,56.0,63.0,1040,8.06,Not charging,76,8050
1790382047,3449,56.0,62.0,1040,12.15,Not charging,76,8058
1790382052,3499,56.0,62.0,1040,11.21,Not charging,76,8051
1790382057,3499,55.0,62.0,1040,9.16,Not charging,76,8056
1790382062,3499,56.0,62.0,1040,14.04,Not charging,76,8049
1790382067,3499,55.0,61.0,1040,15.16,Not charging,76,8049
1790382072,3124,56.0,62.0,1040,13.18,Not charging,76,8074
1790382077,3499,56.0,63.0,1040,10.16,Not charging,76,8077
1790382083,3399,56.0,63.0,1040,9.25,Not charging,76,8068
1790382088,3164,56.0,64.0,1040,12.09,Not charging,76,8064
1790382093,3499,56.0,63.0,1040,9.17,Not charging,76,8048
1790382098,3499,57.0,64.0,1040,11.22,Not charging,76,8042
1790382103,3499,57.0,64.0,1040,12.10,Not charging,76,8060
1790382108,3499,56.0,63.0,1040,15.19,Not charging,76,8047
1790382113,2799,56.0,64.0,1040,10.03,Not charging,76,8062
1790382118,2424,55.0,63.0,1040,5.21,Not charging,76,8056
1790382123,3498,56.0,63.0,1040,12.13,Not charging,76,8069
1790382128,3374,57.0,64.0,1040,12.17,Not charging,76,8077
1790382133,3073,56.0,63.0,1040,12.01,Not charging,76,8061
1790382138,3499,57.0,64.0,1040,13.10,Not charging,76,8059
1790382143,3499,56.0,62.0,1040,13.17,Not charging,76,8059
1790382148,3197,54.0,61.0,1040,13.06,Not charging,76,8055
1790382153,3500,55.0,62.0,1040,11.21,Not charging,76,8063
1790382158,2424,56.0,63.0,1040,8.00,Not charging,76,8063
1790382163,3249,56.0,63.0,1040,12.06,Not charging,76,8060
1790382168,3499,57.0,63.0,1040,12.24,Not charging,76,8063
1790382173,3499,57.0,63.0,1040,12.08,Not charging,76,8064
1790382178,3499,56.0,63.0,1040,14.23,Not charging,76,8048
1790382183,3499,57.0,63.0,1040,9.17,Not charging,76,8064
1790382188,2424,55.0,63.0,1040,11.07,Not charging,76,8054
1790382193,3424,57.0,63.0,1040,10.23,Not charging,76,8071
1790382198,3499,57.0,64.0,1040,14.03,Not charging,76,8051
1790382203,2749,56.0,64.0,1040,7.05,Not charging,76,8048
1790382208,3499,57.0,63.0,1040,10.24,Not charging,76,8064
1790382213,3499,57.0,63.0,1040,12.07,Not charging,76,8074
1790382218,3499,57.0,63.0,1040,12.16,Not charging,76,8074
1790382223,3498,56.0,61.0,1040,9.06,Not charging,76,8065
1790382228,3499,56.0,61.0,1040,11.24,Not charging,76,8047
1790382233,2424,55.0,62.0,200,5.21,Not charging,76,8056
1790382238,3424,55.0,62.0,1040,13.08,Not charging,76,8050
1790382244,3499,57.0,63.0,1040,13.09,Not charging,76,8042
1790382249,3474,57.0,63.0,1040,13.25,Not charging,76,8044
1790382254,3499,56.0,63.0,1040,12.23,Not charging,76,8050
1790382259,3499,56.0,62.0,1040,7.06,Not charging,76,8028
1790382264,3499,56.0,63.0,1040,8.07,Not charging,76,8018
1790382269,3499,56.0,62.0,1040,12.01,Not charging,76,8016
1790382274,2749,54.0,61.0,1040,7.15,Not charging,76,8032
1790382279,2974,54.0,61.0,1040,11.20,Not charging,76,8040
1790382284,3002,56.0,63.0,1040,9.06,Not charging,76,8057
1790382289,3499,56.0,63.0,1040,11.06,Not charging,76,8062
1790382294,3421,55.0,63.0,1040,14.07,Not charging,76,8049
1790382299,3499,57.0,63.0,1040,13.02,Not charging,76,8060
1790382304,3499,56.0,63.0,1040,13.11,Not charging,76,8019
1790382309,2424,54.0,61.0,1040,7.15,Not charging,76,8036
1790382314,3275,55.0,61.0,200,6.14,Not charging,76,8038
1790382319,3324,56.0,63.0,1040,11.03,Not charging,76,8061
1790382324,3499,56.0,63.0,1040,10.18,Not charging,76,8055
1790382329,3449,56.0,63.0,1040,10.08,Not charging,76,8067
1790382334,3245,56.0,63.0,1040,12.23,Not charging,76,8068
1790382339,3499,57.0,62.0,1040,8.25,Not charging,76,8039
1790382344,3499,56.0,63.0,1040,11.13,Not charging,76,8025
1790382349,3499,56.0,62.0,1040,10.24,Not charging,76,8039
1790382354,2424,55.0,62.0,200,5.14,Not charging,76,8036
1790382359,3499,55.0,62.0,1040,13.02,Not charging,76,8036
1790382364,3349,56.0,63.0,1040,11.00,Not charging,76,8052
1790382369,3399,56.0,62.0,1040,11.08,Not charging,76,8037
1790382374,3499,56.0,62.0,1040,12.25,Not charging,76,8053
1790382379,3499,55.0,63.0,1040,10.20,Not charging,76,8017
1790382384,3499,56.0,62.0,1040,12.12,Not charging,76,8055
1790382389,3499,55.0,62.0,1040,10.13,Not charging,76,8039
1790382394,3074,56.0,61.0,1040,8.05,Not charging,76,8024
1790382399,2424,54.0,61.0,1040,5.25,Not charging,76,8008
1790382404,3478,55.0,62.0,1040,11.15,Not charging,76,8038
1790382410,3499,56.0,62.0,1040,12.14,Not charging,76,8041
1790382415,3499,56.0,63.0,1040,12.17,Not charging,76,8026
1790382420,3499,56.0,63.0,1040,15.12,Not charging,76,8026
1790382425,3499,55.0,61.0,1040,16.07,Not charging,76,8037
1790382430,3499,55.0,61.0,1040,12.15,Not charging,76,8022
1790382435,2424,53.0,61.0,1040,6.11,Not charging,76,8019
1790382440,2424,53.0,62.0,1040,10.23,Not charging,76,8005
1790382445,2874,54.0,61.0,1040,10.11,Not charging,76,8007
1790382450,3324,56.0,62.0,1040,13.17,Not charging,76,8005
1790382455,3499,56.0,62.0,1040,12.05,Not charging,76,8009
1790382460,3499,56.0,62.0,1040,14.23,Not charging,76,8018
1790382465,3499,56.0,61.0,1040,13.02,Not charging,76,8016
1790382470,3499,56.0,62.0,1040,13.12,Not charging,76,8023
1790382475,2574,53.0,62.0,1040,11.10,Not charging,76,8039
1790382480,2489,54.0,62.0,1040,7.16,Not charging,76,8030
1790382485,3499,56.0,62.0,1040,11.24,Not charging,76,8010
1790382490,3499,56.0,63.0,1040,11.16,Not charging,76,8028
1790382495,3499,57.0,63.0,1040,12.04,Not charging,76,8030
1790382500,3499,56.0,63.0,1040,14.21,Not charging,76,8045
1790382505,3499,56.0,62.0,1040,12.17,Not charging,76,8042
1790382510,3499,56.0,61.0,1040,13.05,Not charging,76,8034
1790382515,2978,55.0,62.0,1040,8.04,Not charging,76,8024
1790382520,3477,55.0,62.0,1040,13.09,Not charging,76,8003
1790382525,2424,55.0,62.0,1040,10.11,Not charging,76,8020
1790382530,3456,55.0,63.0,1040,14.06,Not charging,76,8005
1790382535,3499,56.0,62.0,1040,15.01,Not charging,76,8032
1790382540,3500,57.0,63.0,1040,15.14,Not charging,76,8007
1790382545,3499,57.0,62.0,1040,12.06,Not charging,76,8010
1790382550,2424,54.0,61.0,1040,7.21,Not charging,76,8001
1790382555,2424,54.0,61.0,1040,5.12,Not charging,76,8027
1790382560,3099,56.0,62.0,1040,8.23,Not charging,76,8018
1790382566,3050,55.0,62.0,1040,9.04,Not charging,76,8019
1790382571,3499,56.0,62.0,1040,12.17,Not charging,76,8024
1790382576,3499,56.0,62.0,1040,13.20,Not charging,76,7983
1790382581,3499,56.0,62.0,1040,14.09,Not charging,76,8019
