epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1790379253,2404,48.0,59.0,200,7.04,Not charging,76,8454
1790379258,2416,64.0,62.0,1600,14.22,Not charging,76,8135
1790379263,2424,66.0,66.0,1272,12.21,Not charging,76,8114
1790379268,2288,67.0,68.0,1519,14.22,Not charging,76,8134
1790379273,2424,70.0,69.0,1600,14.12,Not charging,76,8115
1790379278,2424,70.0,69.0,1600,14.20,Not charging,76,8118
1790379283,2425,70.0,70.0,1600,13.09,Not charging,76,8114
1790379288,2424,70.0,70.0,1600,16.17,Not charging,76,8130
1790379293,2266,71.0,70.0,1600,15.15,Not charging,76,8154
1790379298,2009,71.0,70.0,1600,14.22,Not charging,76,8146
1790379303,1851,71.0,71.0,1600,15.03,Not charging,76,8149
1790379308,2233,70.0,71.0,1600,15.25,Not charging,76,8132
1790379313,2211,71.0,71.0,1600,14.18,Not charging,76,8162
1790379318,2419,71.0,71.0,1600,16.03,Not charging,76,8153
1790379323,2424,71.0,71.0,1600,16.04,Not charging,76,8152
1790379328,2424,70.0,71.0,1495,14.05,Not charging,76,8125
1790379333,2233,71.0,70.0,1600,15.00,Not charging,76,8129
1790379338,2380,70.0,70.0,200,10.05,Not charging,76,8132
1790379343,2424,70.0,70.0,1600,14.02,Not charging,76,8138
1790379348,2335,70.0,70.0,1600,14.24,Not charging,76,8130
1790379354,2071,70.0,70.0,1600,15.22,Not charging,76,8127
1790379359,2424,68.0,70.0,1571,15.23,Not charging,76,8105
1790379364,2370,70.0,70.0,1600,14.16,Not charging,76,8131
1790379369,2424,70.0,70.0,1600,14.23,Not charging,76,8139
1790379374,2261,71.0,71.0,1600,15.07,Not charging,76,8143
1790379379,2424,71.0,71.0,1600,15.09,Not charging,76,8154
1790379384,2424,70.0,71.0,1600,15.00,Not charging,76,8155
1790379389,2424,70.0,71.0,1600,15.13,Not charging,76,8149
1790379394,2424,70.0,71.0,1600,14.25,Not charging,76,8149
1790379399,2399,70.0,71.0,1600,15.07,Not charging,76,8145
1790379404,2424,68.0,70.0,1600,16.09,Not charging,76,8124
1790379409,2424,70.0,70.0,1600,16.13,Not charging,76,8144
1790379414,2334,71.0,71.0,1600,14.19,Not charging,76,8142
1790379419,2353,70.0,71.0,1600,14.21,Not charging,76,8103
1790379424,2091,71.0,71.0,1600,14.18,Not charging,76,8124
1790379429,2423,70.0,70.0,1600,15.05,Not charging,76,8124
1790379434,2424,71.0,70.0,1600,15.13,Not charging,76,8143
1790379439,2424,71.0,71.0,1600,16.11,Not charging,76,8125
1790379444,2424,71.0,71.0,1600,14.23,Not charging,76,8070
1790379449,2400,71.0,72.0,1600,17.06,Not charging,76,8104
1790379454,1562,72.0,72.0,1600,16.01,Not charging,76,8100
1790379459,2425,71.0,72.0,1600,16.11,Not charging,76,8123
1790379464,2223,70.0,72.0,1569,15.06,Not charging,76,8127
1790379469,2424,72.0,72.0,1600,15.22,Not charging,76,8143
1790379474,2417,72.0,72.0,1600,15.00,Not charging,76,8153
1790379480,2334,72.0,72.0,1600,16.02,Not charging,76,8150
1790379485,2424,72.0,72.0,1408,14.06,Not charging,76,8127
1790379490,2334,72.0,72.0,1600,16.22,Not charging,76,8149
1790379495,2275,71.0,72.0,1600,16.05,Not charging,76,8166
1790379500,2424,71.0,72.0,1600,16.17,Not charging,76,8154
1790379505,2323,70.0,72.0,1500,15.21,Not charging,76,8155
1790379510,1588,72.0,72.0,1600,14.04,Not charging,76,8129
1790379515,2424,71.0,72.0,1600,16.02,Not charging,76,8165
1790379520,2350,70.0,72.0,1556,15.05,Not charging,76,8165
1790379525,2424,70.0,72.0,1528,15.08,Not charging,76,8160
1790379530,1506,72.0,72.0,1600,15.06,Not charging,76,8168
1790379535,2424,71.0,72.0,200,10.07,Not charging,76,8161
