epoch,cpu_mhz_avg,gpu_edge_c,acpi_c,gpu_mhz,gpu_power_w,bat_status,bat_pct,mem_avail_mb
1789939840,2423,50.0,57.0,200,6.11,Not charging,79,6937
1789939845,1637,66.0,63.0,1600,15.03,Not charging,79,6701
1789939850,1399,69.0,68.0,1600,13.25,Not charging,79,6676
1789939855,1399,70.0,70.0,1600,15.21,Not charging,79,6662
1789939860,1399,71.0,71.0,1600,15.07,Not charging,79,6660
1789939865,1853,72.0,72.0,1600,15.20,Not charging,79,6667
1789939870,2352,71.0,72.0,1600,14.04,Not charging,79,6678
1789939875,2424,70.0,72.0,1535,15.07,Not charging,79,6665
1789939880,1931,71.0,72.0,1600,16.02,Not charging,79,6651
1789939885,2424,72.0,72.0,1600,14.23,Not charging,79,6665
1789939890,1709,72.0,72.0,1600,13.23,Not charging,79,6666
1789939895,2424,71.0,72.0,1476,16.04,Not charging,79,6643
1789939901,2059,71.0,73.0,1522,14.09,Not charging,79,6671
1789939906,2298,73.0,73.0,1489,14.07,Not charging,79,6675
1789939911,2369,72.0,72.0,1600,15.05,Not charging,79,6676
1789939916,1859,71.0,72.0,1548,15.00,Not charging,79,6667
1789939921,2424,71.0,72.0,1600,15.03,Not charging,79,6662
1789939926,2421,71.0,72.0,1497,15.09,Not charging,79,6635
1789939931,2424,71.0,72.0,1600,16.03,Not charging,79,6660
1789939936,1729,71.0,72.0,1600,15.05,Not charging,79,6650
1789939941,2424,72.0,72.0,1600,15.02,Not charging,79,6653
1789939946,2360,71.0,72.0,1600,16.21,Not charging,79,6645
1789939951,2424,72.0,72.0,1600,16.24,Not charging,79,6677
1789939956,1957,72.0,72.0,1600,15.10,Not charging,79,6651
1789939961,2370,72.0,72.0,1600,16.18,Not charging,79,6660
1789939966,2413,72.0,73.0,1440,14.16,Not charging,79,6649
1789939971,2424,72.0,73.0,1600,17.00,Not charging,79,6678
1789939976,2380,72.0,72.0,1600,16.13,Not charging,79,6661
1789939981,2424,73.0,72.0,1600,14.13,Not charging,79,6638
1789939986,2424,72.0,72.0,1487,14.03,Not charging,79,6637
1789939991,2424,70.0,72.0,1600,16.25,Not charging,79,6675
1789939996,2424,70.0,71.0,1568,14.21,Not charging,79,6661
1789940001,2424,72.0,72.0,1600,15.06,Not charging,79,6687
1789940006,2424,73.0,72.0,1600,16.02,Not charging,79,6673
1789940011,2276,71.0,72.0,1600,15.13,Not charging,79,6675
1789940016,2424,71.0,72.0,1600,16.08,Not charging,79,6682
1789940021,1971,72.0,72.0,1600,15.15,Not charging,79,6696
1789940027,2424,71.0,72.0,1600,15.25,Not charging,79,6686
1789940032,2425,72.0,72.0,1600,15.03,Not charging,79,6704
1789940037,2148,70.0,73.0,1502,13.24,Not charging,79,6702
1789940042,1984,72.0,73.0,1600,15.10,Not charging,79,6694
1789940047,1994,73.0,73.0,1600,15.18,Not charging,79,6671
1789940052,2424,72.0,73.0,1453,15.23,Not charging,79,6667
1789940057,1947,72.0,73.0,1600,15.14,Not charging,79,6698
1789940062,2424,73.0,73.0,1600,16.06,Not charging,79,6704
1789940067,2152,73.0,73.0,1600,15.06,Not charging,79,6675
1789940072,1403,74.0,73.0,1600,15.09,Not charging,79,6682
1789940077,1541,73.0,73.0,1600,15.09,Not charging,79,6750
1789940082,2104,73.0,73.0,1600,16.09,Not charging,79,6722
1789940087,2424,72.0,73.0,1600,13.24,Not charging,79,6711
1789940092,1471,73.0,73.0,1600,15.19,Not charging,79,10143
1789940097,2319,73.0,73.0,1600,14.07,Not charging,79,10208
1789940102,2062,73.0,73.0,1600,15.17,Not charging,79,10210
1789940107,2033,72.0,73.0,1600,15.15,Not charging,79,10224
1789940112,2425,71.0,73.0,1410,15.00,Not charging,79,10205
